name,role,log_Kpw,molar_mass_g_per_mol
BIP-D10,PRC,3.09,164.28
PCB001,PRC,3.57,188.65
PCB002,PRC,3.81,188.65
PCB003,PRC,3.75,188.65
PCB010,PRC,3.97,223.1
PCB014,PRC,4.44,223.1
PCB030,PRC,4.61,257.54
PCB021,PRC,4.68,257.54
PCB050,PRC,5.15,291.99
PCB055,PRC,5.32,291.99
PCB104,PRC,5.56,326.43
PCB078,PRC,5.57,291.99
PCB145,PRC,5.96,360.88
PCB204,PRC,6.58,429.77
endosulfan sulfate,target,2.72,422.92
gamma-HCH,target,2.78,290.83
beta-HCH,target,2.85,290.83
alpha-HCH,target,2.87,290.83
alpha-endosulfan,target,3.86,406.93
heptachlor epoxide,target,4.14,389.32
methoxychlor,target,4.22,345.65
endrin,target,4.35,380.91
dieldrin,target,4.56,380.91
pp-DDD,target,5.22,320.04
heptachlor,target,5.31,373.32
aldrin,target,5.73,364.91
pp-DDE,target,5.74,318.03
pp-DDT,target,6.16,354.49
HCB,target,4.91,284.78
cis-chlordane,target,5.37,409.78
trans-chlordane,target,5.43,409.78
trans-nonachlor,target,5.57,444.22
mirex,target,6.45,545.54
