site,sampler_id,deployed,deployment_days,prc,mass_ng
Upper Malewa,UM-A1,17 July 2016,3,BIP-D10,2.092
Upper Malewa,UM-A1,17 July 2016,3,PCB001,15.119
Upper Malewa,UM-A1,17 July 2016,3,PCB002,36.756
Upper Malewa,UM-A1,17 July 2016,3,PCB003,30.683
Upper Malewa,UM-A1,17 July 2016,3,PCB010,56.133
Upper Malewa,UM-A1,17 July 2016,3,PCB014,84.468
Upper Malewa,UM-A1,17 July 2016,3,PCB030,105.241
Upper Malewa,UM-A1,17 July 2016,3,PCB021,112.02
Upper Malewa,UM-A1,17 July 2016,3,PCB050,111.611
Upper Malewa,UM-A1,17 July 2016,3,PCB055,116.691
Upper Malewa,UM-A1,17 July 2016,3,PCB104,120.819
Upper Malewa,UM-A1,17 July 2016,3,PCB078,121.496
Upper Malewa,UM-A1,17 July 2016,3,PCB145,106.414
Upper Malewa,UM-A1,17 July 2016,3,PCB204,125.999
Upper Malewa,UM-A2,17 July 2016,3,BIP-D10,3.7
Upper Malewa,UM-A2,17 July 2016,3,PCB001,16.348
Upper Malewa,UM-A2,17 July 2016,3,PCB002,33.356
Upper Malewa,UM-A2,17 July 2016,3,PCB003,33.6
Upper Malewa,UM-A2,17 July 2016,3,PCB010,54.34
Upper Malewa,UM-A2,17 July 2016,3,PCB014,94.433
Upper Malewa,UM-A2,17 July 2016,3,PCB030,113.687
Upper Malewa,UM-A2,17 July 2016,3,PCB021,105.961
Upper Malewa,UM-A2,17 July 2016,3,PCB050,121.511
Upper Malewa,UM-A2,17 July 2016,3,PCB055,110.054
Upper Malewa,UM-A2,17 July 2016,3,PCB104,122.246
Upper Malewa,UM-A2,17 July 2016,3,PCB078,130.99
Upper Malewa,UM-A2,17 July 2016,3,PCB145,135.983
Upper Malewa,UM-A2,17 July 2016,3,PCB204,118.4
Upper Malewa,UM-A3,17 July 2016,3,BIP-D10,3.378
Upper Malewa,UM-A3,17 July 2016,3,PCB001,17.376
Upper Malewa,UM-A3,17 July 2016,3,PCB002,36.632
Upper Malewa,UM-A3,17 July 2016,3,PCB003,35.394
Upper Malewa,UM-A3,17 July 2016,3,PCB010,53.717
Upper Malewa,UM-A3,17 July 2016,3,PCB014,112.854
Upper Malewa,UM-A3,17 July 2016,3,PCB030,107.99
Upper Malewa,UM-A3,17 July 2016,3,PCB021,123.029
Upper Malewa,UM-A3,17 July 2016,3,PCB050,103.155
Upper Malewa,UM-A3,17 July 2016,3,PCB055,126.496
Upper Malewa,UM-A3,17 July 2016,3,PCB104,133.71
Upper Malewa,UM-A3,17 July 2016,3,PCB078,100.904
Upper Malewa,UM-A3,17 July 2016,3,PCB145,121.223
Upper Malewa,UM-A3,17 July 2016,3,PCB204,126.06
Upper Malewa,UM-B1,10 July 2016,10,BIP-D10,2.83
Upper Malewa,UM-B1,10 July 2016,10,PCB001,3.102
Upper Malewa,UM-B1,10 July 2016,10,PCB002,4.179
Upper Malewa,UM-B1,10 July 2016,10,PCB003,5.152
Upper Malewa,UM-B1,10 July 2016,10,PCB010,13.243
Upper Malewa,UM-B1,10 July 2016,10,PCB014,52.727
Upper Malewa,UM-B1,10 July 2016,10,PCB030,72.069
Upper Malewa,UM-B1,10 July 2016,10,PCB021,72.692
Upper Malewa,UM-B1,10 July 2016,10,PCB050,103.049
Upper Malewa,UM-B1,10 July 2016,10,PCB055,118.156
Upper Malewa,UM-B1,10 July 2016,10,PCB104,114.692
Upper Malewa,UM-B1,10 July 2016,10,PCB078,112.853
Upper Malewa,UM-B1,10 July 2016,10,PCB145,118.074
Upper Malewa,UM-B1,10 July 2016,10,PCB204,116.302
Upper Malewa,UM-B2,10 July 2016,10,BIP-D10,2.768
Upper Malewa,UM-B2,10 July 2016,10,PCB001,3.952
Upper Malewa,UM-B2,10 July 2016,10,PCB002,4.672
Upper Malewa,UM-B2,10 July 2016,10,PCB003,5.727
Upper Malewa,UM-B2,10 July 2016,10,PCB010,11.405
Upper Malewa,UM-B2,10 July 2016,10,PCB014,48.724
Upper Malewa,UM-B2,10 July 2016,10,PCB030,81.031
Upper Malewa,UM-B2,10 July 2016,10,PCB021,69.007
Upper Malewa,UM-B2,10 July 2016,10,PCB050,92.29
Upper Malewa,UM-B2,10 July 2016,10,PCB055,96.108
Upper Malewa,UM-B2,10 July 2016,10,PCB104,118.901
Upper Malewa,UM-B2,10 July 2016,10,PCB078,121.045
Upper Malewa,UM-B2,10 July 2016,10,PCB145,118.891
Upper Malewa,UM-B2,10 July 2016,10,PCB204,128.353
Upper Malewa,UM-B3,10 July 2016,10,BIP-D10,2.218
Upper Malewa,UM-B3,10 July 2016,10,PCB001,3.185
Upper Malewa,UM-B3,10 July 2016,10,PCB002,6.377
Upper Malewa,UM-B3,10 July 2016,10,PCB003,8.251
Upper Malewa,UM-B3,10 July 2016,10,PCB010,12.166
Upper Malewa,UM-B3,10 July 2016,10,PCB014,48.55
Upper Malewa,UM-B3,10 July 2016,10,PCB030,79.748
Upper Malewa,UM-B3,10 July 2016,10,PCB021,73.634
Upper Malewa,UM-B3,10 July 2016,10,PCB050,113.993
Upper Malewa,UM-B3,10 July 2016,10,PCB055,114.192
Upper Malewa,UM-B3,10 July 2016,10,PCB104,134.757
Upper Malewa,UM-B3,10 July 2016,10,PCB078,110.119
Upper Malewa,UM-B3,10 July 2016,10,PCB145,128.113
Upper Malewa,UM-B3,10 July 2016,10,PCB204,111.924
Upper Malewa,UM-C1,30 June 2016,20,BIP-D10,2.838
Upper Malewa,UM-C1,30 June 2016,20,PCB001,1.965
Upper Malewa,UM-C1,30 June 2016,20,PCB002,2.848
Upper Malewa,UM-C1,30 June 2016,20,PCB003,4.008
Upper Malewa,UM-C1,30 June 2016,20,PCB010,5.174
Upper Malewa,UM-C1,30 June 2016,20,PCB014,21.061
Upper Malewa,UM-C1,30 June 2016,20,PCB030,38.482
Upper Malewa,UM-C1,30 June 2016,20,PCB021,49.408
Upper Malewa,UM-C1,30 June 2016,20,PCB050,90.592
Upper Malewa,UM-C1,30 June 2016,20,PCB055,107.892
Upper Malewa,UM-C1,30 June 2016,20,PCB104,98.938
Upper Malewa,UM-C1,30 June 2016,20,PCB078,114.346
Upper Malewa,UM-C1,30 June 2016,20,PCB145,116.985
Upper Malewa,UM-C1,30 June 2016,20,PCB204,113.481
Upper Malewa,UM-C2,30 June 2016,20,BIP-D10,2.968
Upper Malewa,UM-C2,30 June 2016,20,PCB001,3.33
Upper Malewa,UM-C2,30 June 2016,20,PCB002,3.402
Upper Malewa,UM-C2,30 June 2016,20,PCB003,5.123
Upper Malewa,UM-C2,30 June 2016,20,PCB010,5.637
Upper Malewa,UM-C2,30 June 2016,20,PCB014,20.644
Upper Malewa,UM-C2,30 June 2016,20,PCB030,39.069
Upper Malewa,UM-C2,30 June 2016,20,PCB021,44.903
Upper Malewa,UM-C2,30 June 2016,20,PCB050,96.758
Upper Malewa,UM-C2,30 June 2016,20,PCB055,96.06
Upper Malewa,UM-C2,30 June 2016,20,PCB104,129.279
Upper Malewa,UM-C2,30 June 2016,20,PCB078,112.258
Upper Malewa,UM-C2,30 June 2016,20,PCB145,122.059
Upper Malewa,UM-C2,30 June 2016,20,PCB204,133.721
Upper Malewa,UM-C3,30 June 2016,20,BIP-D10,2.573
Upper Malewa,UM-C3,30 June 2016,20,PCB001,3.246
Upper Malewa,UM-C3,30 June 2016,20,PCB002,3.952
Upper Malewa,UM-C3,30 June 2016,20,PCB003,3.849
Upper Malewa,UM-C3,30 June 2016,20,PCB010,4.081
Upper Malewa,UM-C3,30 June 2016,20,PCB014,21.079
Upper Malewa,UM-C3,30 June 2016,20,PCB030,41.957
Upper Malewa,UM-C3,30 June 2016,20,PCB021,51.901
Upper Malewa,UM-C3,30 June 2016,20,PCB050,86.497
Upper Malewa,UM-C3,30 June 2016,20,PCB055,93.843
