sampler_id,prc,mass_ng
REF-1,BIP-D10,122.882
REF-2,BIP-D10,119.041
REF-3,BIP-D10,126.025
REF-1,PCB001,120.146
REF-2,PCB001,122.457
REF-3,PCB001,122.278
REF-1,PCB002,124.863
REF-2,PCB002,124.514
REF-3,PCB002,124.706
REF-1,PCB003,116.425
REF-2,PCB003,124.857
REF-3,PCB003,130.703
REF-1,PCB010,123.531
REF-2,PCB010,130.671
REF-3,PCB010,120.564
REF-1,PCB014,127.399
REF-2,PCB014,127.502
REF-3,PCB014,127.269
REF-1,PCB030,124.01
REF-2,PCB030,122.253
REF-3,PCB030,125.828
REF-1,PCB021,116.016
REF-2,PCB021,131.563
REF-3,PCB021,128.537
REF-1,PCB050,123.277
REF-2,PCB050,117.336
REF-3,PCB050,117.158
REF-1,PCB055,124.135
REF-2,PCB055,133.73
REF-3,PCB055,133.516
REF-1,PCB104,129.46
REF-2,PCB104,123.759
REF-3,PCB104,126.377
REF-1,PCB078,114.114
REF-2,PCB078,124.22
REF-3,PCB078,128.735
REF-1,PCB145,141.662
REF-2,PCB145,123.95
REF-3,PCB145,121.664
REF-1,PCB204,119.229
REF-2,PCB204,129.187
REF-3,PCB204,126.719
