sampler_id,analyte,role,mass_ng
BLK-1,BIP-D10,PRC,2.047
BLK-1,PCB001,PRC,3.025
BLK-1,PCB002,PRC,3.369
BLK-1,PCB003,PRC,4.923
BLK-1,PCB010,PRC,5.046
BLK-1,PCB014,PRC,1.898
BLK-1,PCB030,PRC,2.692
BLK-1,PCB021,PRC,5.097
BLK-1,PCB050,PRC,2.385
BLK-1,PCB055,PRC,4.184
BLK-1,PCB104,PRC,4.492
BLK-1,PCB078,PRC,3.702
BLK-1,PCB145,PRC,2.402
BLK-1,PCB204,PRC,3.312
BLK-1,endosulfan sulfate,target,0.3271
BLK-1,gamma-HCH,target,0.1357
BLK-1,beta-HCH,target,0.2774
BLK-1,alpha-HCH,target,0.2436
BLK-1,alpha-endosulfan,target,0.1866
BLK-1,heptachlor epoxide,target,0.2822
BLK-1,methoxychlor,target,0.115
BLK-1,endrin,target,0.1074
BLK-1,dieldrin,target,0.0767
BLK-1,pp-DDD,target,0.2116
BLK-1,heptachlor,target,0.1369
BLK-1,aldrin,target,0.0954
BLK-1,pp-DDE,target,0.2127
BLK-1,pp-DDT,target,0.2621
BLK-1,HCB,target,0.1275
BLK-1,cis-chlordane,target,0.122
BLK-1,trans-chlordane,target,0.1996
BLK-1,trans-nonachlor,target,0.3547
BLK-1,mirex,target,0.3186
BLK-2,BIP-D10,PRC,2.258
BLK-2,PCB001,PRC,3.491
BLK-2,PCB002,PRC,3.123
BLK-2,PCB003,PRC,3.354
BLK-2,PCB010,PRC,4.346
BLK-2,PCB014,PRC,2.639
BLK-2,PCB030,PRC,3.317
BLK-2,PCB021,PRC,4.003
BLK-2,PCB050,PRC,2.625
BLK-2,PCB055,PRC,2.777
BLK-2,PCB104,PRC,3.547
BLK-2,PCB078,PRC,5.447
BLK-2,PCB145,PRC,2.612
BLK-2,PCB204,PRC,4.043
BLK-2,endosulfan sulfate,target,0.2843
BLK-2,gamma-HCH,target,0.1244
BLK-2,beta-HCH,target,0.2107
BLK-2,alpha-HCH,target,0.2207
BLK-2,alpha-endosulfan,target,0.1971
BLK-2,heptachlor epoxide,target,0.3531
BLK-2,methoxychlor,target,0.0792
BLK-2,endrin,target,0.1303
BLK-2,dieldrin,target,0.1043
BLK-2,pp-DDD,target,0.2472
BLK-2,heptachlor,target,0.0902
BLK-2,aldrin,target,0.131
BLK-2,pp-DDE,target,0.1448
BLK-2,pp-DDT,target,0.1776
BLK-2,HCB,target,0.0936
BLK-2,cis-chlordane,target,0.1693
BLK-2,trans-chlordane,target,0.1671
BLK-2,trans-nonachlor,target,0.492
BLK-2,mirex,target,0.3169
BLK-3,BIP-D10,PRC,2.582
BLK-3,PCB001,PRC,2.647
BLK-3,PCB002,PRC,3.277
BLK-3,PCB003,PRC,4.854
BLK-3,PCB010,PRC,4.666
BLK-3,PCB014,PRC,2.343
BLK-3,PCB030,PRC,3.267
BLK-3,PCB021,PRC,4.908
BLK-3,PCB050,PRC,2.091
BLK-3,PCB055,PRC,2.433
BLK-3,PCB104,PRC,3.233
BLK-3,PCB078,PRC,3.796
BLK-3,PCB145,PRC,2.065
BLK-3,PCB204,PRC,5.04
BLK-3,endosulfan sulfate,target,0.24
BLK-3,gamma-HCH,target,0.1407
BLK-3,beta-HCH,target,0.1805
BLK-3,alpha-HCH,target,0.2176
BLK-3,alpha-endosulfan,target,0.185
BLK-3,heptachlor epoxide,target,0.241
BLK-3,methoxychlor,target,0.0924
BLK-3,endrin,target,0.1354
BLK-3,dieldrin,target,0.1244
BLK-3,pp-DDD,target,0.2366
BLK-3,heptachlor,target,0.1035
BLK-3,aldrin,target,0.0967
BLK-3,pp-DDE,target,0.1543
BLK-3,pp-DDT,target,0.1992
BLK-3,HCB,target,0.1337
BLK-3,cis-chlordane,target,0.1154
BLK-3,trans-chlordane,target,0.2089
BLK-3,trans-nonachlor,target,0.3126
BLK-3,mirex,target,0.2884
