site,sampler_id,deployed,deployment_days,compound,mass_ng
Upper Malewa,UM-SD1,20 June 2016,30,endosulfan sulfate,350.962
Upper Malewa,UM-SD1,20 June 2016,30,gamma-HCH,337.8381
Upper Malewa,UM-SD1,20 June 2016,30,beta-HCH,191.3048
Upper Malewa,UM-SD1,20 June 2016,30,alpha-HCH,481.9755
Upper Malewa,UM-SD1,20 June 2016,30,alpha-endosulfan,173.7549
Upper Malewa,UM-SD1,20 June 2016,30,heptachlor epoxide,23.4898
Upper Malewa,UM-SD1,20 June 2016,30,methoxychlor,60.6699
Upper Malewa,UM-SD1,20 June 2016,30,endrin,16.3638
Upper Malewa,UM-SD1,20 June 2016,30,dieldrin,30.1849
Upper Malewa,UM-SD1,20 June 2016,30,pp-DDD,22.4761
Upper Malewa,UM-SD1,20 June 2016,30,heptachlor,13.4445
Upper Malewa,UM-SD1,20 June 2016,30,aldrin,9.9838
Upper Malewa,UM-SD1,20 June 2016,30,pp-DDE,41.848
Upper Malewa,UM-SD1,20 June 2016,30,pp-DDT,29.8767
Upper Malewa,UM-SD1,20 June 2016,30,HCB,17.215
Upper Malewa,UM-SD1,20 June 2016,30,cis-chlordane,11.2949
Upper Malewa,UM-SD1,20 June 2016,30,trans-chlordane,14.6301
Upper Malewa,UM-SD1,20 June 2016,30,trans-nonachlor,9.2338
Upper Malewa,UM-SD1,20 June 2016,30,mirex,10.2816
Upper Malewa,UM-SD2,20 June 2016,30,endosulfan sulfate,409.2119
Upper Malewa,UM-SD2,20 June 2016,30,gamma-HCH,336.8253
Upper Malewa,UM-SD2,20 June 2016,30,beta-HCH,192.2423
Upper Malewa,UM-SD2,20 June 2016,30,alpha-HCH,498.7471
Upper Malewa,UM-SD2,20 June 2016,30,alpha-endosulfan,161.5931
Upper Malewa,UM-SD2,20 June 2016,30,heptachlor epoxide,23.7992
Upper Malewa,UM-SD2,20 June 2016,30,methoxychlor,54.8733
Upper Malewa,UM-SD2,20 June 2016,30,endrin,16.2566
Upper Malewa,UM-SD2,20 June 2016,30,dieldrin,35.8135
Upper Malewa,UM-SD2,20 June 2016,30,pp-DDD,22.7534
Upper Malewa,UM-SD2,20 June 2016,30,heptachlor,13.3004
Upper Malewa,UM-SD2,20 June 2016,30,aldrin,10.2155
Upper Malewa,UM-SD2,20 June 2016,30,pp-DDE,41.9412
Upper Malewa,UM-SD2,20 June 2016,30,pp-DDT,32.0504
Upper Malewa,UM-SD2,20 June 2016,30,HCB,20.3147
Upper Malewa,UM-SD2,20 June 2016,30,cis-chlordane,11.2381
Upper Malewa,UM-SD2,20 June 2016,30,trans-chlordane,14.9595
Upper Malewa,UM-SD2,20 June 2016,30,trans-nonachlor,9.8646
Upper Malewa,UM-SD2,20 June 2016,30,mirex,9.7439
Upper Malewa,UM-SD3,20 June 2016,30,endosulfan sulfate,399.2871
Upper Malewa,UM-SD3,20 June 2016,30,gamma-HCH,370.4169
Upper Malewa,UM-SD3,20 June 2016,30,beta-HCH,194.5605
Upper Malewa,UM-SD3,20 June 2016,30,alpha-HCH,465.5359
Upper Malewa,UM-SD3,20 June 2016,30,alpha-endosulfan,171.7611
Upper Malewa,UM-SD3,20 June 2016,30,heptachlor epoxide,22.7617
Upper Malewa,UM-SD3,20 June 2016,30,methoxychlor,58.7078
Upper Malewa,UM-SD3,20 June 2016,30,endrin,16.1678
Upper Malewa,UM-SD3,20 June 2016,30,dieldrin,33.6033
Upper Malewa,UM-SD3,20 June 2016,30,pp-DDD,22.9684
Upper Malewa,UM-SD3,20 June 2016,30,heptachlor,11.9506
Upper Malewa,UM-SD3,20 June 2016,30,aldrin,10.3004
Upper Malewa,UM-SD3,20 June 2016,30,pp-DDE,44.2924
Upper Malewa,UM-SD3,20 June 2016,30,pp-DDT,30.7192
Upper Malewa,UM-SD3,20 June 2016,30,HCB,18.8442
Upper Malewa,UM-SD3,20 June 2016,30,cis-chlordane,11.6653
Upper Malewa,UM-SD3,20 June 2016,30,trans-chlordane,13.8848
Upper Malewa,UM-SD3,20 June 2016,30,trans-nonachlor,11.0538
Upper Malewa,UM-SD3,20 June 2016,30,mirex,10.2439
Middle Malewa,MM-SD1,20 June 2016,30,endosulfan sulfate,1331.417
Middle Malewa,MM-SD1,20 June 2016,30,gamma-HCH,1281.7617
Middle Malewa,MM-SD1,20 June 2016,30,beta-HCH,302.8799
Middle Malewa,MM-SD1,20 June 2016,30,alpha-HCH,1011.855
Middle Malewa,MM-SD1,20 June 2016,30,alpha-endosulfan,748.8451
Middle Malewa,MM-SD1,20 June 2016,30,heptachlor epoxide,64.7781
Middle Malewa,MM-SD1,20 June 2016,30,methoxychlor,245.7484
Middle Malewa,MM-SD1,20 June 2016,30,endrin,36.3597
