sampler_id,analyte,mass_ng
SDB-1,endosulfan sulfate,0.1678
SDB-1,gamma-HCH,0.0648
SDB-1,beta-HCH,0.2395
SDB-1,alpha-HCH,0.2527
SDB-1,alpha-endosulfan,0.3728
SDB-1,heptachlor epoxide,0.3554
SDB-1,methoxychlor,0.3545
SDB-1,endrin,0.4255
SDB-1,dieldrin,0.4751
SDB-1,pp-DDD,0.3465
SDB-1,heptachlor,0.1277
SDB-1,aldrin,0.0632
SDB-1,pp-DDE,0.3022
SDB-1,pp-DDT,0.0717
SDB-1,HCB,0.1349
SDB-1,cis-chlordane,0.1833
SDB-1,trans-chlordane,0.1195
SDB-1,trans-nonachlor,0.4119
SDB-1,mirex,0.1507
SDB-2,endosulfan sulfate,0.2297
SDB-2,gamma-HCH,0.06
SDB-2,beta-HCH,0.2282
SDB-2,alpha-HCH,0.243
SDB-2,alpha-endosulfan,0.3563
SDB-2,heptachlor epoxide,0.3015
SDB-2,methoxychlor,0.2616
SDB-2,endrin,0.4523
SDB-2,dieldrin,0.242
SDB-2,pp-DDD,0.3339
SDB-2,heptachlor,0.128
SDB-2,aldrin,0.0868
SDB-2,pp-DDE,0.4086
SDB-2,pp-DDT,0.0698
SDB-2,HCB,0.084
SDB-2,cis-chlordane,0.2143
SDB-2,trans-chlordane,0.1945
SDB-2,trans-nonachlor,0.4316
SDB-2,mirex,0.1479
SDB-3,endosulfan sulfate,0.1627
SDB-3,gamma-HCH,0.0789
SDB-3,beta-HCH,0.2329
SDB-3,alpha-HCH,0.2165
SDB-3,alpha-endosulfan,0.481
SDB-3,heptachlor epoxide,0.4001
SDB-3,methoxychlor,0.3173
SDB-3,endrin,0.4943
SDB-3,dieldrin,0.3824
SDB-3,pp-DDD,0.3388
SDB-3,heptachlor,0.1398
SDB-3,aldrin,0.0856
SDB-3,pp-DDE,0.3033
SDB-3,pp-DDT,0.0968
SDB-3,HCB,0.167
SDB-3,cis-chlordane,0.2642
SDB-3,trans-chlordane,0.215
SDB-3,trans-nonachlor,0.3492
SDB-3,mirex,0.1181
