site,sampler_id,deployed,deployment_days,compound,mass_ng
Upper Malewa,UM-A1,17 July 2016,3,endosulfan sulfate,7.9108
Upper Malewa,UM-A1,17 July 2016,3,gamma-HCH,6.8348
Upper Malewa,UM-A1,17 July 2016,3,beta-HCH,4.8379
Upper Malewa,UM-A1,17 July 2016,3,alpha-HCH,11.5406
Upper Malewa,UM-A1,17 July 2016,3,alpha-endosulfan,24.3509
Upper Malewa,UM-A1,17 July 2016,3,heptachlor epoxide,4.3408
Upper Malewa,UM-A1,17 July 2016,3,methoxychlor,10.8176
Upper Malewa,UM-A1,17 July 2016,3,endrin,3.2655
Upper Malewa,UM-A1,17 July 2016,3,dieldrin,6.7278
Upper Malewa,UM-A1,17 July 2016,3,pp-DDD,5.041
Upper Malewa,UM-A1,17 July 2016,3,heptachlor,2.3818
Upper Malewa,UM-A1,17 July 2016,3,aldrin,1.5876
Upper Malewa,UM-A1,17 July 2016,3,pp-DDE,6.0312
Upper Malewa,UM-A1,17 July 2016,3,pp-DDT,3.3592
Upper Malewa,UM-A1,17 July 2016,3,HCB,4.66
Upper Malewa,UM-A1,17 July 2016,3,cis-chlordane,2.0707
Upper Malewa,UM-A1,17 July 2016,3,trans-chlordane,2.6808
Upper Malewa,UM-A1,17 July 2016,3,trans-nonachlor,2.188
Upper Malewa,UM-A1,17 July 2016,3,mirex,0.9066
Upper Malewa,UM-A2,17 July 2016,3,endosulfan sulfate,7.6547
Upper Malewa,UM-A2,17 July 2016,3,gamma-HCH,7.4796
Upper Malewa,UM-A2,17 July 2016,3,beta-HCH,4.5728
Upper Malewa,UM-A2,17 July 2016,3,alpha-HCH,12.345
Upper Malewa,UM-A2,17 July 2016,3,alpha-endosulfan,26.2523
Upper Malewa,UM-A2,17 July 2016,3,heptachlor epoxide,5.5047
Upper Malewa,UM-A2,17 July 2016,3,methoxychlor,11.3981
Upper Malewa,UM-A2,17 July 2016,3,endrin,3.1338
Upper Malewa,UM-A2,17 July 2016,3,dieldrin,6.0947
Upper Malewa,UM-A2,17 July 2016,3,pp-DDD,4.5965
Upper Malewa,UM-A2,17 July 2016,3,heptachlor,2.6659
Upper Malewa,UM-A2,17 July 2016,3,aldrin,1.5769
Upper Malewa,UM-A2,17 July 2016,3,pp-DDE,6.6092
Upper Malewa,UM-A2,17 July 2016,3,pp-DDT,3.1077
Upper Malewa,UM-A2,17 July 2016,3,HCB,3.5488
Upper Malewa,UM-A2,17 July 2016,3,cis-chlordane,2.1576
Upper Malewa,UM-A2,17 July 2016,3,trans-chlordane,2.5625
Upper Malewa,UM-A2,17 July 2016,3,trans-nonachlor,1.6724
Upper Malewa,UM-A2,17 July 2016,3,mirex,0.7903
Upper Malewa,UM-A3,17 July 2016,3,endosulfan sulfate,8.6668
Upper Malewa,UM-A3,17 July 2016,3,gamma-HCH,7.0039
Upper Malewa,UM-A3,17 July 2016,3,beta-HCH,4.9106
Upper Malewa,UM-A3,17 July 2016,3,alpha-HCH,10.6264
Upper Malewa,UM-A3,17 July 2016,3,alpha-endosulfan,28.9994
Upper Malewa,UM-A3,17 July 2016,3,heptachlor epoxide,4.1573
Upper Malewa,UM-A3,17 July 2016,3,methoxychlor,10.2934
Upper Malewa,UM-A3,17 July 2016,3,endrin,2.8359
Upper Malewa,UM-A3,17 July 2016,3,dieldrin,6.1288
Upper Malewa,UM-A3,17 July 2016,3,pp-DDD,4.7372
Upper Malewa,UM-A3,17 July 2016,3,heptachlor,2.4173
Upper Malewa,UM-A3,17 July 2016,3,aldrin,1.8011
Upper Malewa,UM-A3,17 July 2016,3,pp-DDE,6.6988
Upper Malewa,UM-A3,17 July 2016,3,pp-DDT,3.2826
Upper Malewa,UM-A3,17 July 2016,3,HCB,3.4939
Upper Malewa,UM-A3,17 July 2016,3,cis-chlordane,2.2097
Upper Malewa,UM-A3,17 July 2016,3,trans-chlordane,2.8565
Upper Malewa,UM-A3,17 July 2016,3,trans-nonachlor,1.9474
Upper Malewa,UM-A3,17 July 2016,3,mirex,0.8271
Upper Malewa,UM-B1,10 July 2016,10,endosulfan sulfate,7.2678
Upper Malewa,UM-B1,10 July 2016,10,gamma-HCH,6.4179
Upper Malewa,UM-B1,10 July 2016,10,beta-HCH,4.4949
Upper Malewa,UM-B1,10 July 2016,10,alpha-HCH,11.3538
Upper Malewa,UM-B1,10 July 2016,10,alpha-endosulfan,44.7093
Upper Malewa,UM-B1,10 July 2016,10,heptachlor epoxide,9.1792
Upper Malewa,UM-B1,10 July 2016,10,methoxychlor,27.8272
Upper Malewa,UM-B1,10 July 2016,10,endrin,8.8521
Upper Malewa,UM-B1,10 July 2016,10,dieldrin,22.1703
Upper Malewa,UM-B1,10 July 2016,10,pp-DDD,14.0406
Upper Malewa,UM-B1,10 July 2016,10,heptachlor,9.9108
Upper Malewa,UM-B1,10 July 2016,10,aldrin,5.3365
Upper Malewa,UM-B1,10 July 2016,10,pp-DDE,25.594
Upper Malewa,UM-B1,10 July 2016,10,pp-DDT,11.9549
Upper Malewa,UM-B1,10 July 2016,10,HCB,14.0856
Upper Malewa,UM-B1,10 July 2016,10,cis-chlordane,7.3691
Upper Malewa,UM-B1,10 July 2016,10,trans-chlordane,8.2933
Upper Malewa,UM-B1,10 July 2016,10,trans-nonachlor,5.5739
Upper Malewa,UM-B1,10 July 2016,10,mirex,2.5951
Upper Malewa,UM-B2,10 July 2016,10,endosulfan sulfate,8.2781
Upper Malewa,UM-B2,10 July 2016,10,gamma-HCH,6.6117
Upper Malewa,UM-B2,10 July 2016,10,beta-HCH,4.6775
Upper Malewa,UM-B2,10 July 2016,10,alpha-HCH,12.2701
Upper Malewa,UM-B2,10 July 2016,10,alpha-endosulfan,45.3947
Upper Malewa,UM-B2,10 July 2016,10,heptachlor epoxide,9.7767
Upper Malewa,UM-B2,10 July 2016,10,methoxychlor,27.8199
Upper Malewa,UM-B2,10 July 2016,10,endrin,6.9307
Upper Malewa,UM-B2,10 July 2016,10,dieldrin,18.6533
Upper Malewa,UM-B2,10 July 2016,10,pp-DDD,15.4653
Upper Malewa,UM-B2,10 July 2016,10,heptachlor,8.2283
Upper Malewa,UM-B2,10 July 2016,10,aldrin,5.8412
Upper Malewa,UM-B2,10 July 2016,10,pp-DDE,19.5831
Upper Malewa,UM-B2,10 July 2016,10,pp-DDT,10.2351
Upper Malewa,UM-B2,10 July 2016,10,HCB,12.3494
Upper Malewa,UM-B2,10 July 2016,10,cis-chlordane,8.7874
Upper Malewa,UM-B2,10 July 2016,10,trans-chlordane,9.7596
Upper Malewa,UM-B2,10 July 2016,10,trans-nonachlor,5.6203
Upper Malewa,UM-B2,10 July 2016,10,mirex,2.5877
Upper Malewa,UM-B3,10 July 2016,10,endosulfan sulfate,7.5701
Upper Malewa,UM-B3,10 July 2016,10,gamma-HCH,6.4326
Upper Malewa,UM-B3,10 July 2016,10,beta-HCH,4.3795
Upper Malewa,UM-B3,10 July 2016,10,alpha-HCH,10.5334
Upper Malewa,UM-B3,10 July 2016,10,alpha-endosulfan,44.0096
Upper Malewa,UM-B3,10 July 2016,10,heptachlor epoxide,9.91
Upper Malewa,UM-B3,10 July 2016,10,methoxychlor,23.326
Upper Malewa,UM-B3,10 July 2016,10,endrin,7.7574
Upper Malewa,UM-B3,10 July 2016,10,dieldrin,20.0203
Upper Malewa,UM-B3,10 July 2016,10,pp-DDD,15.5268
Upper Malewa,UM-B3,10 July 2016,10,heptachlor,8.9782
Upper Malewa,UM-B3,10 July 2016,10,aldrin,5.7596
Upper Malewa,UM-B3,10 July 2016,10,pp-DDE,23.126
Upper Malewa,UM-B3,10 July 2016,10,pp-DDT,12.2149
Upper Malewa,UM-B3,10 July 2016,10,HCB,11.5754
Upper Malewa,UM-B3,10 July 2016,10,cis-chlordane,7.2553
Upper Malewa,UM-B3,10 July 2016,10,trans-chlordane,8.8133
Upper Malewa,UM-B3,10 July 2016,10,trans-nonachlor,5.7222
Upper Malewa,UM-B3,10 July 2016,10,mirex,2.2748
Upper Malewa,UM-C1,30 June 2016,20,endosulfan sulfate,8.1633
